[1522540800] LOG ROTATION: DAILY
[1522540800] LOG VERSION: 2.0
[1522540800] CURRENT HOST STATE: control1.gate.rtf;UP;HARD;1;OK - 192.168.4.2: rta 0.022ms, lost 0%
[1522540800] CURRENT HOST STATE: control2.gate.rtf;UP;HARD;1;OK - 192.168.4.10: rta 0.192ms, lost 0%
[1522540800] CURRENT HOST STATE: mgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.3: rta 0.171ms, lost 0%
[1522540800] CURRENT HOST STATE: mgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.22: rta 0.120ms, lost 0%
[1522540800] CURRENT HOST STATE: pgen1.gate.rtf;UP;HARD;1;OK - 192.168.4.23: rta 0.121ms, lost 0%
[1522540800] CURRENT HOST STATE: pgen2.gate.rtf;UP;HARD;1;OK - 192.168.4.25: rta 0.194ms, lost 0%
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Antenna_Door_Open_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Az_Run_Line_Active;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brake_Bypass_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Brakes_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Fans_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Stowed_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Azimuth_Temperature_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_COHO_Gate_Fault;OK;HARD;1;OK - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Circulator_Temperature_Fault;OK;HARD;1;OK - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_El_Run_Line_Active;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brake_Bypass_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Brakes_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Fans_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Limit_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Stowed_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Elevation_Temperature_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Mitch_Switch_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Oil_Pressure_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Pedestal_Switch_Disabled_Fault;UNKNOWN;HARD;1;UNKNOWN - Unknown - 0
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_RF_Disabled_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_RF_Ladder_Lockout_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Pressure_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;ANT_Wave_Guide_Switch_Fault;CRITICAL;HARD;1;CRIT - FAULT - 1
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;CPU load;OK;HARD;1;OK - 15 min load 0.05 at 16 Cores (0.00 per Core)
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;CPU utilization;OK;HARD;1;OK - user: 0.2%, system: 0.1%, wait: 0.0%, steal: 0.0%, guest: 0.0%, total: 0.3%
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Check_MK;OK;HARD;1;OK - Agent version 1.2.8p26, execution time 0.6 sec
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Check_MK Discovery;OK;HARD;1;OK - no unmonitored services found, 19 vanished services (local:19)
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Disk IO SUMMARY;OK;HARD;1;OK - Utilization: 0.0%, Read: 0.00 B/s, Write: 59.33 kB/s, Average Wait: 0.04 ms, Average Read Wait: 0.00 ms, Average Write Wait: 0.04 ms, Latency: 0.01 ms
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /;OK;HARD;1;OK - 62.0% used (24.19 of 39.04 GB), trend: +5.10 MB / 24 hours
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /data;OK;HARD;1;OK - 25.6% used (401.65 GB of 1.53 TB), trend: 0.00 B / 24 hours
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Filesystem /home;OK;HARD;1;OK - 63.2% used (29.80 of 47.17 GB), trend: +2.40 MB / 24 hours
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_DataMapper_primary;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_DsFileDist_ext_data;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_DsServerMgr_primary;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_Fmq2Fmq_monitoring;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_InputWatcher_spol_cams;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_Janitor_logs;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_Janitor_sysview;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_LdataWatcher_sysview;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_Scout_primary;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HP_SpolMonCtrl_ops;UNKNOWN;HARD;1;UNKNOWN - Item not found in agent output
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HawkSummary_Data;OK;HARD;1;OK - 0 data set(s) have problems
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;HawkSummary_Processes;CRITICAL;HARD;1;CRIT - 0 ok, 1 problems - No ProcessMapper?
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Interface 2;OK;HARD;1;OK - [em1] (up) MAC: 78:2b:cb:0d:ae:c0, 1 Gbit/s, in: 4.36 kB/s(0.0%), out: 898.24 B/s(0.0%)
[1522540800] CURRENT SERVICE STATE: control1.gate.rtf;Interface 3;OK;HARD;1;OK - [em2] (up) MAC: 78:2b:cb:0d:ae:c1, 1 Gbit/s, in: 65.13 B/s(0.0%), out: 0.00 B/s(0.0%)
